Date,Heure,T l'air à deux mètres du sol (°C),T ressentie au vent (°C),T du point de rosée (°C),Direction du vent (km/h),Vitesse du vent lors de la mesure (km/h),Vitesse moyenne du vent sur la dernière heure (km/h),Vitesse du vent maximum sur la dernière heure (km/h),Humidité relative (%),Pression atmosphérique ramenée au niveau de la mer (hPa),Visibilité (Km),Nebulosité (octa),Précipitations (mm/heure(s)),Conditions observées à la station
2025-01-Mer. 01,23:00,7.8,5,5.9,SSO,16.7,--,31.5,88,1014.4(-2.4/3h),15,8/8,0/1h,--
2025-01-Mer. 01,22:00,7.4,4.7,5.9,SO,14.8,--,29.6,90,1015.3(-1.8/3h),15,8/8,0/1h,--
2025-01-Mer. 01,21:00,7.2,4.2,5.7,SO,16.7,--,29.6,90,1015.9(-1.6/3h),20,8/8,0/3h,--
2025-01-Mer. 01,20:00,7.2,4.5,5.5,SSO,14.8,--,29.6,89,1016.8(-1.0/3h),20,8/8,0/1h,--
2025-01-Mer. 01,19:00,7.1,4.4,5.2,SSO,14.8,--,31.5,88,1017.1(-1.1/3h),20,8/8,0/1h,--
2025-01-Mer. 01,18:00,7.3,4.6,5.1,SSO,14.8,--,29.6,86,1017.5(-1.2/3h),20,8/8,0/3h0/12h,--
2025-01-Mer. 01,17:00,7.2,4.8,5.0,SSO,13.0,--,29.6,86,1017.8(-1.6/3h),20,8/8,0/1h,--
2025-01-Mer. 01,16:00,7.1,4.4,4.9,SSO,14.8,--,29.6,86,1018.3(-1.9/3h),20,8/8,0/1h,--
2025-01-Mer. 01,15:00,7.4,5,4.9,SO,13.0,--,25.9,84,1018.7(-2.5/3h),20,8/8,0/3h,--
2025-01-Mer. 01,14:00,7.2,4.8,4.8,SO,13.0,--,25.9,85,1019.5(-2.9/3h),20,8/8,0/1h,--
2025-01-Mer. 01,13:00,6.9,4.1,4.7,SO,14.8,--,29.6,86,1020.2(-2.3/3h),20,8/8,0/1h,--
2025-01-Mer. 01,12:00,6.2,3,4.7,SO,16.7,--,29.6,90,1021.3(-1.8/3h),10,8/8,0/3h0/6h,--
2025-01-Mer. 01,11:00,5.7,2.9,4.3,SSO,13.0,--,24.1,91,1022.5(-0.9/3h),10,8/8,0/1h,--
2025-01-Mer. 01,10:00,5.6,2.8,4.4,SSO,13.0,--,27.8,92,1022.6(-0.9/3h),10,8/8,0/1h,--
2025-01-Mer. 01,09:00,4.7,2.1,3.8,SSO,11.1,--,24.1,94,1023.2(-1.1/3h),11,8/8,0/3h,--
2025-01-Mer. 01,08:00,4.1,1.3,3.2,SSO,11.1,--,22.2,94,1023.4(-1.6/3h),10,8/8,0/1h,--
2025-01-Mer. 01,07:00,3.7,0.5,3.0,S,13.0,--,22.2,95,1023.6(-2.1/3h),8,8/8,0/1h,--
2025-01-Mer. 01,05:00,3.5,1.5,3.1,SSO,7.4,--,16.7,97,1025.1(-1.4/3h),6,8/8,0/1h,--
