T l'air à deux mètres du sol (°C),T ressentie au vent (°C),T du point de rosée (°C),Direction du vent (km/h),Vitesse du vent lors de la mesure (km/h),Vitesse du vent maximum sur la dernière heure (km/h),Humidité relative (%),Visibilité (Km),Datetime,Pression,Variation_pression_3h,Nebulosite,Degradation_meteo,Pluie_presence,Pluie_moyenne_par_heure,Intensite_pluie
7.8,5.0,5.9,SSO,16.7,31.5,88,15.0,2025-01-01 23:00:00,1014.4,-2.4,8.0,0,0,0.0,Aucune
7.4,4.7,5.9,SO,14.8,29.6,90,15.0,2025-01-01 22:00:00,1015.3,-1.8,8.0,0,0,0.0,Aucune
7.2,4.2,5.7,SO,16.7,29.6,90,20.0,2025-01-01 21:00:00,1015.9,-1.6,8.0,0,0,0.0,Aucune
7.2,4.5,5.5,SSO,14.8,29.6,89,20.0,2025-01-01 20:00:00,1016.8,-1.0,8.0,0,0,0.0,Aucune
7.1,4.4,5.2,SSO,14.8,31.5,88,20.0,2025-01-01 19:00:00,1017.1,-1.1,8.0,0,0,0.0,Aucune
7.3,4.6,5.1,SSO,14.8,29.6,86,20.0,2025-01-01 18:00:00,1017.5,-1.2,8.0,0,0,0.0,Aucune
7.2,4.8,5.0,SSO,13.0,29.6,86,20.0,2025-01-01 17:00:00,1017.8,-1.6,8.0,0,0,0.0,Aucune
7.1,4.4,4.9,SSO,14.8,29.6,86,20.0,2025-01-01 16:00:00,1018.3,-1.9,8.0,0,0,0.0,Aucune
7.4,5.0,4.9,SO,13.0,25.9,84,20.0,2025-01-01 15:00:00,1018.7,-2.5,8.0,0,0,0.0,Aucune
7.2,4.8,4.8,SO,13.0,25.9,85,20.0,2025-01-01 14:00:00,1019.5,-2.9,8.0,0,0,0.0,Aucune
6.9,4.1,4.7,SO,14.8,29.6,86,20.0,2025-01-01 13:00:00,1020.2,-2.3,8.0,0,0,0.0,Aucune
6.2,3.0,4.7,SO,16.7,29.6,90,10.0,2025-01-01 12:00:00,1021.3,-1.8,8.0,0,0,0.0,Aucune
5.7,2.9,4.3,SSO,13.0,24.1,91,10.0,2025-01-01 11:00:00,1022.5,-0.9,8.0,0,0,0.0,Aucune
5.6,2.8,4.4,SSO,13.0,27.8,92,10.0,2025-01-01 10:00:00,1022.6,-0.9,8.0,0,0,0.0,Aucune
4.7,2.1,3.8,SSO,11.1,24.1,94,11.0,2025-01-01 09:00:00,1023.2,-1.1,8.0,0,0,0.0,Aucune
4.1,1.3,3.2,SSO,11.1,22.2,94,10.0,2025-01-01 08:00:00,1023.4,-1.6,8.0,0,0,0.0,Aucune
3.7,0.5,3.0,S,13.0,22.2,95,8.0,2025-01-01 07:00:00,1023.6,-2.1,8.0,0,0,0.0,Aucune
3.5,1.5,3.1,SSO,7.4,16.7,97,6.0,2025-01-01 05:00:00,1025.1,-1.4,8.0,0,0,0.0,Aucune
3.0,0.4,2.6,SSO,9.3,18.5,97,3.9,2025-01-01 04:00:00,1025.7,-1.7,8.0,0,0,0.0,Aucune
3.0,0.4,2.6,SSO,9.3,16.7,97,4.6,2025-01-01 03:00:00,1025.9,-1.9,8.0,0,0,0.0,Aucune
3.1,0.6,2.7,SSO,9.3,20.4,97,2.7,2025-01-01 02:00:00,1026.5,-1.9,8.0,0,0,0.0,Aucune
3.6,0.7,3.2,SO,11.1,18.5,97,10.0,2025-01-01 01:00:00,1027.4,-1.3,8.0,0,0,0.0,Aucune
3.8,1.0,3.5,SSO,11.1,20.4,98,3.6,2025-01-01 00:00:00,1027.8,-1.0,8.0,0,0,0.0,Aucune
2.4,0.9,1.1,NNO,5.6,7.4,91,10.0,2025-01-02 23:00:00,1024.1,2.1,7.0,0,0,0.0,Aucune
3.7,3.7,1.7,NO,3.7,9.3,87,10.0,2025-01-02 22:00:00,1023.2,1.8,5.0,0,0,0.0,Aucune
4.1,4.1,2.3,NNO,3.7,7.4,88,10.0,2025-01-02 21:00:00,1022.6,2.3,7.0,0,1,0.01,Faible
2.8,2.8,1.6,NNO,3.7,9.3,92,6.0,2025-01-02 20:00:00,,2.3,4.0,0,1,0.01,Faible
4.3,3.1,3.3,NNO,5.6,9.3,93,6.0,2025-01-02 19:00:00,1021.3,2.6,7.0,0,1,0.01,Faible
4.3,4.3,3.3,N,3.7,11.1,93,10.0,2025-01-02 18:00:00,1020.3,2.3,8.0,0,0,0.0,Aucune
4.7,3.5,4.0,NNO,5.6,9.3,95,11.0,2025-01-02 17:00:00,1019.6,2.1,8.0,0,0,0.0,Aucune
4.7,2.9,3.8,NNO,7.4,13.0,94,10.0,2025-01-02 16:00:00,1018.7,1.4,8.0,0,0,0.0,Aucune
4.5,4.5,3.9,NNO,3.7,5.6,96,14.0,2025-01-02 15:00:00,,0.7,8.0,0,1,0.13,Faible
4.3,4.3,3.9,O,3.7,5.6,97,4.3,2025-01-02 14:00:00,1017.5,-0.1,8.0,0,1,0.4,Faible
3.9,3.9,3.3,O,3.7,5.6,96,2.2,2025-01-02 13:00:00,1017.3,0.0,8.0,0,1,0.01,Faible
3.8,3.8,2.9,O,3.7,5.6,94,19.0,2025-01-02 12:00:00,1017.3,0.6,8.0,0,1,0.23,Faible
3.3,3.3,2.4,O,3.7,7.4,94,24.0,2025-01-02 11:00:00,1017.6,1.8,8.0,0,1,0.01,Faible
3.0,3.0,2.3,O,3.7,14.8,95,22.0,2025-01-02 10:00:00,1017.3,2.4,8.0,0,1,0.7,Faible
3.0,1.6,2.1,NO,5.6,9.3,94,10.0,2025-01-02 09:00:00,1016.7,2.2,8.0,0,1,2.33,Faible
4.1,2.8,3.4,NNO,5.6,9.3,95,8.0,2025-01-02 08:00:00,1015.8,1.7,8.0,0,1,2.0,Faible
4.6,3.4,3.7,NNO,5.6,9.3,94,5.0,2025-01-02 07:00:00,1014.8,1.0,8.0,0,1,3.0,Modérée
4.9,4.9,4.5,NNO,3.7,11.1,97,3.8,2025-01-02 06:00:00,1014.4,1.2,8.0,0,1,2.33,Faible
5.2,5.2,4.8,N,3.7,11.1,97,5.0,2025-01-02 05:00:00,,1.4,8.0,0,1,2.0,Faible
5.5,3.9,4.9,N,7.4,11.1,96,4.4,2025-01-02 04:00:00,1013.8,0.9,8.0,0,1,3.0,Modérée
7.1,5.3,6.2,N,9.3,20.4,94,2.8,2025-01-02 03:00:00,1013.1,-0.5,8.0,0,1,1.0,Faible
8.0,5.7,6.9,SO,13.0,29.6,93,5.0,2025-01-02 02:00:00,1012.5,-1.9,8.0,0,1,1.0,Faible
8.2,5.5,6.3,SO,16.7,35.2,88,10.0,2025-01-02 01:00:00,1012.7,-2.5,8.0,0,1,0.01,Faible
8.0,5.2,6.0,SO,16.7,33.3,87,15.0,2025-01-02 00:00:00,1013.6,-2.3,8.0,0,0,0.0,Aucune
-2.2,-2.2,-2.6,SSO,1.9,3.7,97,0.2,2025-01-03 23:00:00,1025.7,-0.3,0.0,0,0,0.0,Aucune
-2.1,-2.1,-2.5,S,1.9,3.7,97,0.7,2025-01-03 22:00:00,1025.8,-0.3,0.0,0,0,0.0,Aucune
-1.5,-1.5,-1.9,S,1.9,5.6,97,5.0,2025-01-03 21:00:00,1025.9,0.1,0.0,0,0,0.0,Aucune
-1.8,-1.8,-2.6,OSO,1.9,3.7,94,20.0,2025-01-03 20:00:00,,0.5,0.0,0,0,0.0,Aucune
-1.3,-1.3,-2.6,O,3.7,5.6,91,6.0,2025-01-03 19:00:00,1026.1,1.0,0.0,0,0,0.0,Aucune
-0.7,-0.7,-2.8,O,3.7,7.4,86,20.0,2025-01-03 18:00:00,1025.8,0.9,0.0,0,0,0.0,Aucune
0.3,0.3,-2.6,ONO,1.9,11.1,81,20.0,2025-01-03 17:00:00,1025.4,0.6,2.0,0,0,0.0,Aucune
2.0,2.0,-2.9,NO,3.7,11.1,70,20.0,2025-01-03 16:00:00,1024.9,0.0,2.0,0,0,0.0,Aucune
3.5,2.1,-2.5,NO,5.6,11.1,65,20.0,2025-01-03 15:00:00,1024.7,-0.8,2.0,0,0,0.0,Aucune
4.6,2.8,-1.0,N,7.4,13.0,67,20.0,2025-01-03 14:00:00,1024.6,-1.3,2.0,0,0,0.0,Aucune
4.9,3.7,-0.1,NO,5.6,11.1,70,16.0,2025-01-03 13:00:00,1024.8,-1.2,2.0,0,0,0.0,Aucune
4.0,4.0,--,OSO,3.7,7.4,--,9.0,2025-01-03 12:00:00,1025.5,-0.2,2.0,0,0,0.0,Aucune
2.5,2.5,-0.3,SO,3.7,5.6,82,15.0,2025-01-03 11:00:00,,0.7,1.0,0,0,0.0,Aucune
0.4,0.4,-0.6,SO,1.9,7.4,93,0.3,2025-01-03 10:00:00,1026.2,1.2,,0,0,0.0,Aucune
-0.6,-0.6,-1.2,SO,1.9,3.7,96,3.5,2025-01-03 09:00:00,1025.9,1.1,1.0,0,0,0.0,Aucune
-2.4,-2.4,-2.7,SO,1.9,5.6,98,1.2,2025-01-03 08:00:00,1025.5,0.9,1.0,0,0,0.0,Aucune
-2.2,-2.2,-2.6,OSO,3.7,5.6,97,0.2,2025-01-03 07:00:00,1025.1,0.4,0.0,0,0,0.0,Aucune
-1.0,-1.0,-1.3,O,3.7,5.6,98,0.2,2025-01-03 06:00:00,1024.8,0.1,0.0,0,0,0.01,Faible
-0.9,-0.9,-1.3,O,3.7,5.6,97,0.1,2025-01-03 05:00:00,1024.6,0.0,,0,0,0.0,Aucune
-1.0,-1.0,-1.6,OSO,1.9,3.7,96,10.0,2025-01-03 04:00:00,1024.7,0.3,0.0,0,0,0.0,Aucune
-0.5,-0.5,-0.9,OSO,1.9,3.7,97,10.0,2025-01-03 03:00:00,1024.6,0.3,0.0,0,0,0.0,Aucune
-0.1,-0.1,-0.7,NNO,3.7,5.6,96,3.1,2025-01-03 02:00:00,1024.5,0.3,,0,0,0.0,Aucune
0.4,0.4,-0.3,NNO,3.7,9.3,95,10.0,2025-01-03 01:00:00,1024.3,1.0,,0,0,0.0,Aucune
1.4,-0.3,0.2,NNO,5.6,7.4,92,8.0,2025-01-03 00:00:00,1024.3,1.5,,0,0,0.01,Faible
0.9,-0.8,0.6,SE,5.6,11.1,98,2.7,2025-01-04 23:00:00,1006.1,-3.5,8.0,1,1,2.0,Faible
0.7,-1.1,0.4,SE,5.6,11.1,98,1.9,2025-01-04 22:00:00,1007.3,-3.6,8.0,1,1,1.0,Faible
0.5,-1.3,0.1,ESE,5.6,11.1,97,2.1,2025-01-04 21:00:00,1008.5,-3.3,8.0,1,1,0.67,Faible
0.4,-2.1,-0.3,ESE,7.4,13.0,95,2.5,2025-01-04 20:00:00,1009.6,-3.1,8.0,1,1,0.8,Faible
0.4,-2.1,-0.6,ESE,7.4,13.0,93,5.0,2025-01-04 19:00:00,,-2.8,8.0,0,1,0.6,Faible
0.5,-1.3,-1.3,E,5.6,9.3,88,5.0,2025-01-04 18:00:00,1011.9,-2.5,8.0,0,1,0.13,Faible
0.8,-1.6,-1.9,ESE,7.4,13.0,82,20.0,2025-01-04 17:00:00,1012.8,-2.3,8.0,0,1,0.01,Faible
0.8,-0.9,-2.4,E,5.6,13.0,79,22.0,2025-01-04 16:00:00,1013.8,-2.9,8.0,0,0,0.0,Aucune
1.0,-1.4,-3.5,ESE,7.4,14.8,72,25.0,2025-01-04 15:00:00,1014.4,-3.6,8.0,0,0,0.0,Aucune
1.4,-1.5,-3.3,ESE,9.3,14.8,71,28.0,2025-01-04 14:00:00,1015.1,-4.0,6.0,0,0,0.0,Aucune
1.9,-0.3,-2.8,ESE,7.4,13.0,71,8.0,2025-01-04 13:00:00,1016.7,-3.4,,0,0,0.0,Aucune
1.4,-0.9,-2.2,ESE,7.4,16.7,77,20.0,2025-01-04 12:00:00,,-3.0,7.0,0,0,0.0,Aucune
-0.5,-2.4,-1.5,E,5.6,11.1,93,16.0,2025-01-04 11:00:00,1019.2,-1.9,7.0,0,0,0.0,Aucune
-1.6,-3.7,-2.0,ESE,5.6,9.3,97,12.0,2025-01-04 10:00:00,1020.2,-1.5,7.0,0,0,0.0,Aucune
-3.2,-3.2,-3.6,ENE,1.9,3.7,97,0.9,2025-01-04 09:00:00,1021.2,-1.3,7.0,0,0,0.0,Aucune
-3.8,-3.8,-4.2,E,1.9,3.7,97,0.3,2025-01-04 08:00:00,1021.3,-1.6,,0,0,0.0,Aucune
-4.1,-4.1,-4.5,E,1.9,3.7,97,0.1,2025-01-04 07:00:00,1021.9,-1.7,,0,0,0.0,Aucune
-3.9,-3.9,-4.2,ENE,1.9,5.6,98,0.1,2025-01-04 06:00:00,1022.6,-1.2,,0,0,0.0,Aucune
-4.4,-4.4,-4.8,E,1.9,3.7,97,0.1,2025-01-04 05:00:00,1022.9,-1.5,,0,0,0.0,Aucune
-4.2,-4.2,-4.6,SSE,1.9,5.6,97,0.1,2025-01-04 04:00:00,1023.6,-1.4,,0,0,0.0,Aucune
-4.3,-4.3,-4.7,SSE,1.9,3.7,97,0.1,2025-01-04 03:00:00,1023.8,-1.7,,0,0,0.0,Aucune
-3.8,-3.8,-4.1,E,1.9,5.6,98,0.1,2025-01-04 02:00:00,1024.4,-1.4,,0,0,0.0,Aucune
-3.1,-3.1,-3.4,SE,1.9,3.7,98,0.1,2025-01-04 01:00:00,,-0.9,,0,0,0.0,Aucune
-2.7,-2.7,-3.0,SSO,3.7,5.6,98,0.1,2025-01-04 00:00:00,1025.5,-0.5,,0,0,0.0,Aucune
12.1,10.7,8.4,SSO,13.0,27.8,78,15.0,2025-01-05 23:00:00,993.3,-1.4,7.0,0,1,0.2,Faible
12.1,11.2,7.4,SSO,9.3,18.5,73,25.0,2025-01-05 22:00:00,993.6,-1.9,7.0,0,1,0.01,Faible
11.8,11.2,7.3,S,7.4,13.0,74,25.0,2025-01-05 21:00:00,994.2,-1.8,7.0,0,0,0.0,Aucune
11.7,11.5,7.6,S,5.6,13.0,76,25.0,2025-01-05 20:00:00,994.7,-2.0,7.0,1,0,0.0,Aucune
11.9,11.8,7.8,S,5.6,13.0,76,25.0,2025-01-05 19:00:00,995.5,-1.2,7.0,0,0,0.0,Aucune
12.0,11.5,8.1,S,7.4,13.0,77,30.0,2025-01-05 18:00:00,,-1.2,8.0,0,0,0.0,Aucune
11.8,11.2,8.3,S,7.4,20.4,79,30.0,2025-01-05 17:00:00,996.7,-0.7,8.0,0,0,0.0,Aucune
12.2,10.9,8.3,SSO,13.0,20.4,77,30.0,2025-01-05 16:00:00,996.7,-1.4,7.0,0,0,0.0,Aucune
12.3,11.0,8.4,SSO,13.0,27.8,77,35.0,2025-01-05 15:00:00,997.2,-1.5,7.0,0,0,0.0,Aucune
12.4,10.7,8.5,SO,16.7,29.6,77,26.0,2025-01-05 14:00:00,997.4,-2.5,8.0,1,0,0.0,Aucune
12.4,10.9,8.7,SSO,14.8,29.6,78,26.0,2025-01-05 13:00:00,998.1,-2.1,8.0,1,0,0.0,Aucune
12.3,10.8,8.8,SSO,14.8,27.8,79,27.0,2025-01-05 12:00:00,998.7,-2.0,7.0,1,1,0.01,Faible
12.1,10.5,9.5,SSO,14.8,25.9,84,26.0,2025-01-05 11:00:00,,-1.1,8.0,0,0,0.0,Aucune
11.8,10.4,9.5,SSO,13.0,22.2,86,23.0,2025-01-05 10:00:00,1000.3,-0.9,7.0,0,1,0.01,Faible
11.0,9.4,9.4,SSO,13.0,31.5,90,14.0,2025-01-05 09:00:00,1000.8,-0.6,8.0,0,1,0.07,Faible
10.9,9.0,9.5,SO,14.8,29.6,91,14.0,2025-01-05 08:00:00,1001.1,-0.2,8.0,0,1,0.01,Faible
10.9,9.3,9.8,SO,13.0,31.5,93,18.0,2025-01-05 07:00:00,1001.2,-0.4,8.0,0,0,0.0,Aucune
10.8,8.9,9.7,SO,14.8,33.3,93,15.0,2025-01-05 06:00:00,1001.4,-0.8,8.0,0,1,0.13,Faible
10.6,8.7,9.8,SO,14.8,25.9,95,11.0,2025-01-05 05:00:00,1001.3,-1.7,8.0,0,1,0.01,Faible
10.3,8.3,9.7,SO,14.8,25.9,96,4.4,2025-01-05 04:00:00,1001.6,-2.0,8.0,1,1,0.4,Faible
10.2,8.2,9.6,SO,14.8,27.8,96,9.0,2025-01-05 03:00:00,1002.2,-2.4,8.0,1,1,1.0,Faible
7.7,5.7,7.7,SO,11.1,16.7,100,8.0,2025-01-05 02:00:00,1003.2,-2.6,8.0,1,1,0.8,Faible
2.4,0.3,2.3,S,7.4,9.3,99,2.4,2025-01-05 01:00:00,,-3.2,8.0,0,1,2.0,Faible
