date,date_non_format,destination_liste,compagnie,statut,ville_depart,ville_arrivee,heure_depart_prevue,heure_depart_reelle,retard_depart_min,heure_arrivee_prevue,heure_arrivee_reelle,retard_arrivee_min,terminal_depart,terminal_arrivee
2025-02-23,23 Feb,Porto,Transavia,Estimé,ORY • Paris,OPO • Porto,17:10,--,,18:25,--,,3,--
2025-02-23,23 Feb,Bristol,easyJet UK,Annulé,ORY • Paris,BRS • Bristol,17:10,--,,--:--,--,,--,--
2025-02-23,23 Feb,Bristol,easyJet UK,Parti 19:22,ORY • Paris,BRS • Bristol,17:10,19:22,132,17:30,--,,ORY3,2B
2025-02-23,23 Feb,Tlemcen,Air Algerie,Parti 18:20,ORY • Paris,TLM • Tlemcen,17:15,18:20,65,19:35,--,,4,1
2025-02-23,23 Feb,Madrid,Air Europa  3,Parti 17:21,ORY • Paris,MAD • Madrid,17:15,17:21,6,19:15,18:58,-17,1,T2
2025-02-23,23 Feb,Madrid,Azul,Parti 17:21,ORY • Paris,MAD • Madrid,17:15,17:21,6,19:15,18:58,-17,1,2
2025-02-23,23 Feb,Madrid,Aeromexico,Parti 17:21,ORY • Paris,MAD • Madrid,17:15,17:21,6,19:15,18:58,-17,1,2
2025-02-23,23 Feb,Madrid,China Easter,Parti 17:21,ORY • Paris,MAD • Madrid,17:15,17:21,6,19:15,18:58,-17,1,2
2025-02-23,23 Feb,Annaba,Air Algerie,Parti 18:21,ORY • Paris,AAE • Annaba,17:15,18:21,66,19:30,--,,4,1
2025-02-23,23 Feb,Madrid,Iberia Airlines  3,Parti 17:38,ORY • Paris,MAD • Madrid,17:20,17:38,18,19:25,19:14,-11,1,4
2025-02-23,23 Feb,Madrid,LATAM Airlines,Parti 17:38,ORY • Paris,MAD • Madrid,17:20,17:38,18,19:25,19:14,-11,1,4
2025-02-23,23 Feb,Madrid,Qatar Airways,Parti 17:38,ORY • Paris,MAD • Madrid,17:20,17:38,18,19:25,19:14,-11,1,4
2025-02-23,23 Feb,Madrid,Vueling,Parti 17:38,ORY • Paris,MAD • Madrid,17:20,17:38,18,19:25,19:14,-11,1,4
2025-02-23,23 Feb,Saint Denis,Air France  1,Parti 18:47,ORY • Paris,RUN • Saint Denis,17:20,18:47,87,07:20,--,,3,4
2025-02-23,23 Feb,Saint Denis,KLM,Parti 18:47,ORY • Paris,RUN • Saint Denis,17:20,18:47,87,07:20,--,,3,4
2025-02-23,23 Feb,Prague,Vueling  1,Parti 17:16,ORY • Paris,PRG • Prague,17:20,17:16,-4,19:10,18:41,-29,1,2
2025-02-23,23 Feb,Prague,Iberia Airlines,Parti 17:16,ORY • Paris,PRG • Prague,17:20,17:16,-4,19:10,18:41,-29,1,2
2025-02-23,23 Feb,Perpignan,Transavia,Parti 17:36,ORY • Paris,PGF • Perpignan,17:25,17:36,11,18:55,18:38,-17,3,3
2025-02-23,23 Feb,Rome,easyJet UK,Parti 17:34,ORY • Paris,FCO • Rome,17:25,17:34,9,19:25,19:05,-20,1,1
2025-02-23,23 Feb,Naples,Transavia,Parti 17:56,ORY • Paris,NAP • Naples,17:25,17:56,31,19:40,19:45,5,3,A
2025-02-23,23 Feb,Perpignan,Transavia,Prévu,ORY • Paris,PGF • Perpignan,17:25,--,,18:55,--,,3,--
2025-02-23,23 Feb,Naples,Transavia,Prévu,ORY • Paris,NAP • Naples,17:25,--,,19:40,--,,3,--
2025-02-23,23 Feb,Tunis,Tunisair,Parti 20:03,ORY • Paris,TUN • Tunis,17:30,20:03,153,19:55,--,,4,M
2025-02-23,23 Feb,Venise,Transavia,Prévu,ORY • Paris,VCE • Venise,17:35,--,,19:15,--,,3,--
2025-02-23,23 Feb,Venise,Transavia,Parti 18:13,ORY • Paris,VCE • Venise,17:35,18:13,38,19:15,19:26,11,3,1
2025-02-23,23 Feb,Nice,Air France,Parti 17:50,ORY • Paris,NCE • Nice,17:35,17:50,15,19:00,18:56,-4,3,2
2025-02-23,23 Feb,Asturies,Vueling  1,Parti 17:44,ORY • Paris,OVD • Asturies,17:35,17:44,9,19:25,19:04,-21,1,1
2025-02-23,23 Feb,Asturies,Iberia Airlines,Parti 17:44,ORY • Paris,OVD • Asturies,17:35,17:44,9,19:25,19:04,-21,1,1
2025-02-23,23 Feb,Dublin,Transavia,Parti 17:51,ORY • Paris,DUB • Dublin,17:40,17:51,11,18:40,18:21,-19,3,1
2025-02-24,24 Feb,Lisbonne,Transavia,Parti 16:33,ORY • Paris,LIS • Lisbonne,16:20,16:33,13,18:00,17:48,-12,3,1
2025-02-24,24 Feb,Bristol,easyJet UK,Annulé,ORY • Paris,BRS • Bristol,16:25,--,,--:--,--,,--,--
2025-02-24,24 Feb,Bristol,easyJet UK,Parti 16:34,ORY • Paris,BRS • Bristol,16:25,16:34,9,16:45,16:32,-13,ORY3,2
2025-02-24,24 Feb,Toulouse,Air France,Parti 16:38,ORY • Paris,TLS • Toulouse,16:30,16:38,8,17:45,17:36,-9,3,1
2025-02-24,24 Feb,Copenhague,Transavia,Parti 16:47,ORY • Paris,CPH • Copenhague,16:35,16:47,12,18:45,18:21,-24,3,3
2025-02-24,24 Feb,Stockholm,Transavia,Parti 16:56,ORY • Paris,ARN • Stockholm,16:35,16:56,21,19:15,19:00,-15,3,2
2025-02-24,24 Feb,Oran,Transavia,Parti 17:02,ORY • Paris,ORN • Oran,16:35,17:02,27,19:10,19:07,-3,3,1
