date,date_non_format,destination_liste,compagnie,statut,ville_depart,ville_arrivee,heure_depart_prevue,heure_depart_reelle,retard_depart_min,heure_arrivee_prevue,heure_arrivee_reelle,retard_arrivee_min,terminal_depart,terminal_arrivee
2025-02-12,12 Feb,Nice,easyJet UK,Parti 19:04,ORY • Paris,NCE • Nice,19:00,19:04,4,20:25,20:12,-13,1,2
2025-02-12,12 Feb,Madrid,Iberia Airlines  4,Parti 19:17,ORY • Paris,MAD • Madrid,19:00,19:17,17,21:05,20:48,-17,1,4
2025-02-12,12 Feb,Madrid,Avianca,Parti 19:17,ORY • Paris,MAD • Madrid,19:00,19:17,17,21:05,20:48,-17,1,4
2025-02-12,12 Feb,Madrid,LATAM Airlines,Parti 19:17,ORY • Paris,MAD • Madrid,19:00,19:17,17,21:05,20:48,-17,1,4
2025-02-12,12 Feb,Madrid,Qatar Airways,Parti 19:17,ORY • Paris,MAD • Madrid,19:00,19:17,17,21:05,20:48,-17,1,4
2025-02-12,12 Feb,Madrid,Vueling,Parti 19:17,ORY • Paris,MAD • Madrid,19:00,19:17,17,21:05,20:48,-17,1,4
2025-02-12,12 Feb,Casablanca,Tui Fly,Parti 19:37,ORY • Paris,CMN • Casablanca,19:05,19:37,32,22:35,22:13,-22,D,1
2025-02-12,12 Feb,Nice,Air France,Parti 19:10,ORY • Paris,NCE • Nice,19:05,19:10,5,20:30,20:18,-12,3,2
2025-02-12,12 Feb,Toulouse,easyJet UK,Parti 19:14,ORY • Paris,TLS • Toulouse,19:10,19:14,4,20:25,20:15,-10,1,3
2025-02-12,12 Feb,Montpellier,Transavia,Parti 20:40,ORY • Paris,MPL • Montpellier,19:10,20:40,90,20:35,--,,3,--
2025-02-12,12 Feb,Alger,Air Algerie,Parti 22:08,ORY • Paris,ALG • Alger,19:10,22:08,178,21:20,--,,4,4
2025-02-12,12 Feb,Madrid,Air Europa  2,Parti 19:39,ORY • Paris,MAD • Madrid,19:25,19:39,14,21:25,21:10,-15,1,T2
2025-02-12,12 Feb,Madrid,Azul,Parti 19:39,ORY • Paris,MAD • Madrid,19:25,19:39,14,21:25,21:10,-15,1,T2
